,icao,iata,name,city,lat,lon
12489,KEYW,EYW,Key West International Airport,Key West,24.55612,-81.75996
12497,KF05,WIB,Wilbarger County Airport,Vernon,34.22567,-99.28375
12507,KF23,RGR,Ranger Municipal Airport,Ranger,32.45148,-98.68151
12528,KF70,RBK,French Valley Airport,Murrieta/Temecula,33.57418,-117.12847
12543,KFAF,FAF,Felker Army Air Field,Fort Eustis,37.13261,-76.60894
12544,KFAM,FAM,Farmington Regional Airport,Farmington,37.8,-90.4
12545,KFAR,FAR,Hector International Airport,Fargo,46.92064,-96.81575
12546,KFAT,FAT,Fresno Yosemite International Airport,Fresno,36.77656,-119.71883
12547,KFAY,FAY,Fayetteville Regional/Grannis Field,Fayetteville,34.99121,-78.88027
12548,KFBG,FBG,Simmons Army Air Field,Fort Liberty,35.1,-78.9
12549,KFBL,FBL,Faribault Municipal-Liz Wall Strohfus Field,Faribault,44.32897,-93.31307
